MONTH,DAY,Date,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,CANCELLED,CANCELLATION_REASON,ID
1,1,1/1/15,2556,N906EV,CLL,DFW,1,A,112556N906EV
1,1,1/1/15,290,N3JKAA,AUS,JFK,1,A,11290N3JKAA
1,1,1/1/15,1114,N3HCAA,DFW,LGA,1,B,111114N3HCAA
1,1,1/1/15,2377,N559AA,DFW,ICT,1,B,112377N559AA
1,1,1/1/15,3676,N612MQ,AMA,DFW,1,B,113676N612MQ
1,1,1/1/15,5531,N874AS,SAN,DEN,1,A,115531N874AS
1,1,1/1/15,5535,N930EV,DEN,MSO,1,C,115535N930EV
1,1,1/1/15,5327,N986SW,DEN,MAF,1,C,115327N986SW
1,1,1/1/15,2210,N469AA,DFW,SAT,1,B,112210N469AA
1,1,1/1/15,2903,N607MQ,DFW,BTR,1,B,112903N607MQ
1,1,1/1/15,3393,N918MQ,DFW,TXK,1,B,113393N918MQ
1,1,1/1/15,3612,N857MQ,DFW,CLL,1,B,113612N857MQ
1,1,1/1/15,3653,N825MQ,DFW,TLH,1,B,113653N825MQ
1,1,1/1/15,1412,,ORD,PHL,1,A,111412
1,1,1/1/15,1677,N560AA,MEM,DFW,1,B,111677N560AA
1,1,1/1/15,2568,N909EV,SPS,DFW,1,A,112568N909EV
1,1,1/1/15,2897,N907MQ,GPT,DFW,1,B,112897N907MQ
1,1,1/1/15,2755,N692MQ,LFT,DFW,1,B,112755N692MQ
1,1,1/1/15,7366,N438SW,APN,DTW,1,A,117366N438SW
1,1,1/1/15,1511,N3EUAA,DFW,FLL,1,B,111511N3EUAA
1,1,1/1/15,3671,N692MQ,CMH,ORD,1,A,113671N692MQ
1,1,1/1/15,4973,N760SK,CVG,ORD,1,A,114973N760SK
1,1,1/1/15,184,N3LCAA,DFW,SFO,1,B,11184N3LCAA
1,1,1/1/15,1255,N4XEAA,DFW,SJC,1,B,111255N4XEAA
1,1,1/1/15,2832,N667MQ,HSV,DFW,1,B,112832N667MQ
1,1,1/1/15,1883,,SLC,PHL,1,A,111883
1,1,1/1/15,43,N3BNAA,DFW,DTW,1,B,1143N3BNAA
1,1,1/1/15,1002,N475AA,DFW,IAH,1,B,111002N475AA
1,1,1/1/15,2515,N877AS,SJT,DFW,1,A,112515N877AS
1,1,1/1/15,2759,N647MQ,CVG,ORD,1,A,112759N647MQ
1,1,1/1/15,29,N568AA,DFW,ONT,1,B,1129N568AA
1,1,1/1/15,2835,N906MQ,DFW,PNS,1,B,112835N906MQ
1,1,1/1/15,3482,N836MQ,SGF,DFW,1,B,113482N836MQ
1,1,1/1/15,2517,N901EV,MLI,DFW,1,A,112517N901EV
1,1,1/1/15,2520,N877AS,CRP,DFW,1,A,112520N877AS
1,1,1/1/15,2954,N609MQ,DFW,GJT,1,B,112954N609MQ
1,1,1/1/15,3241,N642MQ,DFW,ABI,1,B,113241N642MQ
1,1,1/1/15,3656,N649MQ,DFW,SJT,1,B,113656N649MQ
1,1,1/1/15,1292,N4XTAA,DFW,TUL,1,B,111292N4XTAA
1,1,1/1/15,1662,N4WJAA,DFW,ABQ,1,B,111662N4WJAA
1,1,1/1/15,2226,N426AA,TPA,DFW,1,A,112226N426AA
1,1,1/1/15,2780,N631MQ,MKE,DFW,1,B,112780N631MQ
1,1,1/1/15,3184,N635MQ,GRK,DFW,1,B,113184N635MQ
1,1,1/1/15,3364,N689MQ,BHM,DFW,1,B,113364N689MQ
1,1,1/1/15,6368,N909SW,DEN,ICT,1,C,116368N909SW
1,1,1/1/15,1261,N581AA,DFW,TUS,1,B,111261N581AA
1,1,1/1/15,1633,N586AA,DFW,MSP,1,B,111633N586AA
1,1,1/1/15,1257,,MIA,ORD,1,A,111257
1,1,1/1/15,3449,N827MQ,DFW,DRO,1,B,113449N827MQ
1,1,1/1/15,6497,N916SW,DEN,LIT,1,C,116497N916SW
1,1,1/1/15,4399,N14972,MAF,IAH,1,C,114399N14972
1,1,1/1/15,1448,N3HKAA,DFW,BOS,1,B,111448N3HKAA
1,1,1/1/15,4599,N16170,IAH,HOB,1,C,114599N16170
1,1,1/1/15,2776,N600MQ,HOU,DFW,1,B,112776N600MQ
1,1,1/1/15,2790,N690MQ,DFW,HSV,1,B,112790N690MQ
1,1,1/1/15,2996,N928MQ,DFW,VPS,1,B,112996N928MQ
1,1,1/1/15,3196,N925MQ,SAF,DFW,1,A,113196N925MQ
1,1,1/1/15,3263,N900MQ,DFW,ACT,1,B,113263N900MQ
1,1,1/1/15,3373,N856MQ,DFW,LEX,1,B,113373N856MQ
1,1,1/1/15,3404,N855MQ,TYR,DFW,1,B,113404N855MQ
1,1,1/1/15,3636,N935MQ,MLU,DFW,1,B,113636N935MQ
1,1,1/1/15,2456,N4XHAA,DFW,SAT,1,B,112456N4XHAA
1,1,1/1/15,2464,N571AA,DFW,BNA,1,B,112464N571AA
1,1,1/1/15,2557,N879AS,DFW,BRO,1,A,112557N879AS
1,1,1/1/15,3190,N532MQ,MAF,DFW,1,B,113190N532MQ
1,1,1/1/15,3296,N922MQ,LRD,DFW,1,B,113296N922MQ
1,1,1/1/15,324,N4YMAA,DFW,MCO,1,B,11324N4YMAA
1,1,1/1/15,1041,N3DEAA,DFW,CLT,1,B,111041N3DEAA
1,1,1/1/15,1484,N504AA,AUS,DFW,1,B,111484N504AA
1,1,1/1/15,2888,N614MQ,MGM,DFW,1,B,112888N614MQ
1,1,1/1/15,2904,N611MQ,DFW,CVG,1,B,112904N611MQ
1,1,1/1/15,2983,N518MQ,AMA,DFW,1,B,112983N518MQ
1,1,1/1/15,3318,N676MQ,DFW,LFT,1,B,113318N676MQ
1,1,1/1/15,5390,N576SW,DEN,GCC,1,C,115390N576SW
1,1,1/1/15,5554,N472CA,DEN,SJC,1,C,115554N472CA
1,1,1/1/15,2758,N939MQ,ROW,DFW,1,B,112758N939MQ
1,1,1/1/15,3325,N645MQ,XNA,DFW,1,B,113325N645MQ
1,1,1/1/15,3273,N11119,DEN,SAF,1,C,113273N11119
1,1,1/1/15,4148,N14558,IAH,MAF,1,C,114148N14558
1,1,1/1/15,144,N618NK,ATL,DFW,1,B,11144N618NK
1,1,1/1/15,3036,N616MQ,DFW,XNA,1,B,113036N616MQ
1,1,1/1/15,3414,N509MQ,DFW,AMA,1,B,113414N509MQ
1,1,1/1/15,3393,N918MQ,TXK,DFW,1,B,113393N918MQ
1,1,1/1/15,2488,N3BJAA,DFW,EWR,1,B,112488N3BJAA
1,1,1/1/15,2500,N906EV,DFW,LAW,1,A,112500N906EV
1,1,1/1/15,2830,N652MQ,PIA,DFW,1,B,112830N652MQ
1,1,1/1/15,2802,N649MQ,DFW,SGF,1,B,112802N649MQ
1,1,1/1/15,4503,N14514,IAH,BRO,1,B,114503N14514
1,1,1/1/15,370,N555AA,DFW,BWI,1,B,11370N555AA
1,1,1/1/15,1328,N575AA,DFW,OKC,1,B,111328N575AA
1,1,1/1/15,2879,N5PBMQ,DFW,MAF,1,B,112879N5PBMQ
1,1,1/1/15,3058,N692MQ,ORD,BWI,1,A,113058N692MQ
1,1,1/1/15,74,N505AA,DFW,CLE,1,B,1174N505AA
